Product Link,Product Name,Offered Price,Original Price
https://www.flipkart.com/redmi-9i-midnight-black-64-gb/p/itm15c585b87d780?pid=MOBFV8RYKWQ3HACE&lid=LSTMOBFV8RYKWQ3HACEURJID6&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=browse&fm=organic&iid=a0cc1627-fdc0-4118-ad42-e0b94775c9a5.MOBFV8RYKWQ3HACE.SEARCH&ppt=None&ppn=None&ssid=o8hixw1hwg0000001619595825841,"REDMI 9i (Midnight Black, 64 GB)","₹7,999","₹9,999"
https://www.flipkart.com/redmi-9i-sea-blue-64-gb/p/itm2d2ba7f6cbf65?pid=MOBFV8RYTHGA8BY9&lid=LSTMOBFV8RYTHGA8BY94DXZRY&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_2&otracker=browse&fm=organic&iid=a0cc1627-fdc0-4118-ad42-e0b94775c9a5.MOBFV8RYTHGA8BY9.SEARCH&ppt=None&ppn=None&ssid=o8hixw1hwg0000001619595825841,"REDMI 9i (Sea Blue, 64 GB)","₹7,999","₹9,999"
https://www.flipkart.com/infinix-hot-10-play-obsidian-black-64-gb/p/itm1f660c8716944?pid=MOBGFG7UHNMETGEF&lid=LSTMOBGFG7UHNMETGEF3FRNWH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_3&otracker=browse&fm=organic&iid=a0cc1627-fdc0-4118-ad42-e0b94775c9a5.MOBGFG7UHNMETGEF.SEARCH&ppt=None&ppn=None&ssid=o8hixw1hwg0000001619595825841,"Infinix Hot 10 Play (Obsidian Black, 64 GB)","₹8,499","₹10,999"
https://www.flipkart.com/oppo-f19-prism-black-128-gb/p/itm82f60569dc6db?pid=MOBGFGWNUZXAM7QY&lid=LSTMOBGFGWNUZXAM7QYJQRKVV&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_4&otracker=browse&fm=organic&iid=en_xsmUTvxWHXiZ7B1jKQxKInX3x0NcXsV4X%2FzRPk1fAWsKZ%2BJhRwqptqIa5NIDs99XWmmtUfbsWtiHppnaMU1Mkw%3D%3D&ppt=None&ppn=None&ssid=o8hixw1hwg0000001619595825841,"OPPO F19 (Prism Black, 128 GB)","₹17,949","₹18,389"
https://www.flipkart.com/infinix-hot-10-play-morandi-green-64-gb/p/itm1f660c8716944?pid=MOBGFG7U8PDJFFTJ&lid=LSTMOBGFG7U8PDJFFTJDLSYLK&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=browse&fm=organic&iid=a0cc1627-fdc0-4118-ad42-e0b94775c9a5.MOBGFG7U8PDJFFTJ.SEARCH&ppt=None&ppn=None&ssid=o8hixw1hwg0000001619595825841,"Infinix Hot 10 Play (Morandi Green, 64 GB)","₹8,499","₹10,999"
https://www.flipkart.com/infinix-hot-10-play-aegean-blue-64-gb/p/itm1f660c8716944?pid=MOBGFG7URKYYCXUS&lid=LSTMOBGFG7URKYYCXUSZ1U485&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_6&otracker=browse&fm=organic&iid=a0cc1627-fdc0-4118-ad42-e0b94775c9a5.MOBGFG7URKYYCXUS.SEARCH&ppt=None&ppn=None&ssid=o8hixw1hwg0000001619595825841,"Infinix Hot 10 Play (Aegean Blue, 64 GB)","₹8,499","₹10,999"
https://www.flipkart.com/realme-c21-cross-blue-32-gb/p/itmf4062d3f37c1a?pid=MOBGF489MNZGABVJ&lid=LSTMOBGF489MNZGABVJ28ZM4B&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_7&otracker=browse&fm=organic&iid=a0cc1627-fdc0-4118-ad42-e0b94775c9a5.MOBGF489MNZGABVJ.SEARCH&ppt=None&ppn=None&ssid=o8hixw1hwg0000001619595825841,"realme C21 (Cross Blue, 32 GB)","₹7,999","₹9,999"
https://www.flipkart.com/realme-c12-power-blue-32-gb/p/itm4854d77becc77?pid=MOBFUEPQHDPFKKQT&lid=LSTMOBFUEPQHDPFKKQTW2X6UR&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_8&otracker=browse&fm=organic&iid=a0cc1627-fdc0-4118-ad42-e0b94775c9a5.MOBFUEPQHDPFKKQT.SEARCH&ppt=None&ppn=None&ssid=o8hixw1hwg0000001619595825841,"realme C12 (Power Blue, 32 GB)","₹7,999","₹10,999"
https://www.flipkart.com/realme-c12-power-silver-32-gb/p/itm4854d77becc77?pid=MOBFUEPQEEDFBHCE&lid=LSTMOBFUEPQEEDFBHCEUX6BAW&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_9&otracker=browse&fm=organic&iid=a0cc1627-fdc0-4118-ad42-e0b94775c9a5.MOBFUEPQEEDFBHCE.SEARCH&ppt=None&ppn=None&ssid=o8hixw1hwg0000001619595825841,"realme C12 (Power Silver, 32 GB)","₹7,999","₹10,999"
https://www.flipkart.com/realme-c20-cool-grey-32-gb/p/itmea1903897436b?pid=MOBGF489SQZCFHYA&lid=LSTMOBGF489SQZCFHYAGB7SDS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_10&otracker=browse&fm=organic&iid=a0cc1627-fdc0-4118-ad42-e0b94775c9a5.MOBGF489SQZCFHYA.SEARCH&ppt=None&ppn=None&ssid=o8hixw1hwg0000001619595825841,"realme C20 (Cool Grey, 32 GB)","₹6,799","₹7,999"
https://www.flipkart.com/realme-c20-cool-blue-32-gb/p/itmea1903897436b?pid=MOBGF4894MEWZJGV&lid=LSTMOBGF4894MEWZJGVW425N5&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_11&otracker=browse&fm=organic&iid=a0cc1627-fdc0-4118-ad42-e0b94775c9a5.MOBGF4894MEWZJGV.SEARCH&ppt=None&ppn=None&ssid=o8hixw1hwg0000001619595825841,"realme C20 (Cool Blue, 32 GB)","₹6,799","₹7,999"
https://www.flipkart.com/redmi-9i-nature-green-64-gb/p/itm2e2fcd7b3eb7b?pid=MOBFV8RYNA4FVEH7&lid=LSTMOBFV8RYNA4FVEH7NNKUZA&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_12&otracker=browse&fm=organic&iid=a0cc1627-fdc0-4118-ad42-e0b94775c9a5.MOBFV8RYNA4FVEH7.SEARCH&ppt=None&ppn=None&ssid=o8hixw1hwg0000001619595825841,"REDMI 9i (Nature Green, 64 GB)","₹7,999","₹9,999"
https://www.flipkart.com/realme-narzo-20-glory-silver-64-gb/p/itm4ac58d879006d?pid=MOBFVEATBBRGJBKH&lid=LSTMOBFVEATBBRGJBKHO9FHOE&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_13&otracker=browse&fm=organic&iid=a0cc1627-fdc0-4118-ad42-e0b94775c9a5.MOBFVEATBBRGJBKH.SEARCH&ppt=None&ppn=None&ssid=o8hixw1hwg0000001619595825841,"realme Narzo 20 (Glory Silver, 64 GB)","₹10,499","₹12,999"
https://www.flipkart.com/lava-gem/p/itmf954hfm33thxf?pid=MOBF94EQFANKSARH&lid=LSTMOBF94EQFANKSARH9TXQSB&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_14&otracker=browse&fm=organic&iid=en_xsmUTvxWHXiZ7B1jKQxKInX3x0NcXsV4X%2FzRPk1fAWvMeLFuHrCEXKkqCV%2Bl%2Fn%2BKruyKiAVPtuLqpLAuVyfUWQ%3D%3D&ppt=None&ppn=None&ssid=o8hixw1hwg0000001619595825841,LAVA GEM,"₹1,539",Not Available
https://www.flipkart.com/realme-c21-cross-black-64-gb/p/itmf4062d3f37c1a?pid=MOBGF489G9HRWFZ9&lid=LSTMOBGF489G9HRWFZ9BYFZCR&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_15&otracker=browse&fm=organic&iid=a0cc1627-fdc0-4118-ad42-e0b94775c9a5.MOBGF489G9HRWFZ9.SEARCH&ppt=None&ppn=None&ssid=o8hixw1hwg0000001619595825841,"realme C21 (Cross Black, 64 GB)","₹8,999","₹10,999"
https://www.flipkart.com/realme-c21-cross-black-32-gb/p/itmf4062d3f37c1a?pid=MOBGF489EUA5PEBK&lid=LSTMOBGF489EUA5PEBKOSO80O&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_16&otracker=browse&fm=organic&iid=a0cc1627-fdc0-4118-ad42-e0b94775c9a5.MOBGF489EUA5PEBK.SEARCH&ppt=None&ppn=None&ssid=o8hixw1hwg0000001619595825841,"realme C21 (Cross Black, 32 GB)","₹7,999","₹9,999"
https://www.flipkart.com/redmi-note-9-arctic-white-64-gb/p/itmb8d1f586be409?pid=MOBFU3ZFXMWJCSHP&lid=LSTMOBFU3ZFXMWJCSHPXQ6FTB&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_17&otracker=browse&fm=organic&iid=a0cc1627-fdc0-4118-ad42-e0b94775c9a5.MOBFU3ZFXMWJCSHP.SEARCH&ppt=None&ppn=None&ssid=o8hixw1hwg0000001619595825841,"REDMI Note 9 (Arctic White, 64 GB)","₹10,999","₹14,999"
https://www.flipkart.com/poco-m3-yellow-64-gb/p/itmd1876d904897a?pid=MOBFZTCUPAHJVA94&lid=LSTMOBFZTCUPAHJVA94MERQ6U&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_18&otracker=browse&fm=organic&iid=a0cc1627-fdc0-4118-ad42-e0b94775c9a5.MOBFZTCUPAHJVA94.SEARCH&ppt=None&ppn=None&ssid=o8hixw1hwg0000001619595825841,"POCO M3 (Yellow, 64 GB)","₹10,999","₹12,999"
https://www.flipkart.com/realme-narzo-20-glory-silver-128-gb/p/itm4ac58d879006d?pid=MOBFVEATZFZSAF8D&lid=LSTMOBFVEATZFZSAF8DK60K4E&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_19&otracker=browse&fm=organic&iid=a0cc1627-fdc0-4118-ad42-e0b94775c9a5.MOBFVEATZFZSAF8D.SEARCH&ppt=None&ppn=None&ssid=o8hixw1hwg0000001619595825841,"realme Narzo 20 (Glory Silver, 128 GB)","₹11,499","₹13,999"
https://www.flipkart.com/forme-a1/p/itmddba1b6c959a5?pid=MOBGY9W5YENXGNGZ&lid=LSTMOBGY9W5YENXGNGZJ78KLK&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_20&otracker=browse&fm=organic&iid=en_xsmUTvxWHXiZ7B1jKQxKInX3x0NcXsV4X%2FzRPk1fAWuEPzU%2B%2FI5vxTzlQTIpqmW0%2FH1xUiX7Fo3XnO5ZpCqCJw%3D%3D&ppt=None&ppn=None&ssid=o8hixw1hwg0000001619595825841,Forme A1,"₹1,025","₹1,149"
https://www.flipkart.com/realme-narzo-20-victory-blue-64-gb/p/itm4ac58d879006d?pid=MOBFVEATNT2HYSTP&lid=LSTMOBFVEATNT2HYSTPPICDR0&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_21&otracker=browse&fm=organic&iid=a0cc1627-fdc0-4118-ad42-e0b94775c9a5.MOBFVEATNT2HYSTP.SEARCH&ppt=None&ppn=None&ssid=o8hixw1hwg0000001619595825841,"realme Narzo 20 (Victory Blue, 64 GB)","₹10,499","₹12,999"
https://www.flipkart.com/realme-narzo-20-victory-blue-128-gb/p/itm4ac58d879006d?pid=MOBFVEATJGZZNHHA&lid=LSTMOBFVEATJGZZNHHATT972L&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_22&otracker=browse&fm=organic&iid=a0cc1627-fdc0-4118-ad42-e0b94775c9a5.MOBFVEATJGZZNHHA.SEARCH&ppt=None&ppn=None&ssid=o8hixw1hwg0000001619595825841,"realme Narzo 20 (Victory Blue, 128 GB)","₹11,499","₹13,999"
https://www.flipkart.com/poco-m3-cool-blue-128-gb/p/itm037b84b46ce23?pid=MOBFZTCUAFE66VCK&lid=LSTMOBFZTCUAFE66VCKGDC8RC&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_23&otracker=browse&fm=organic&iid=a0cc1627-fdc0-4118-ad42-e0b94775c9a5.MOBFZTCUAFE66VCK.SEARCH&ppt=None&ppn=None&ssid=o8hixw1hwg0000001619595825841,"POCO M3 (Cool Blue, 128 GB)","₹11,999","₹14,999"
https://www.flipkart.com/forme-d9/p/itmb8ba8c1317285?pid=MOBG2CJZHP7AHGEQ&lid=LSTMOBG2CJZHP7AHGEQ4CT67X&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_24&otracker=browse&fm=organic&iid=en_xsmUTvxWHXiZ7B1jKQxKInX3x0NcXsV4X%2FzRPk1fAWvpwcY3kGJ2TeTLwL8eLevsF0QyU2r5CKXiuqJERj%2F7wQ%3D%3D&ppt=None&ppn=None&ssid=o8hixw1hwg0000001619595825841,Forme D9,₹835,Not Available
https://www.flipkart.com/poco-x3-pro-steel-blue-128-gb/p/itm92bc566db15d8?pid=MOBGFKNFXBYGHFHJ&lid=LSTMOBGFKNFXBYGHFHJM8QVIC&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_25&otracker=browse&fm=organic&iid=7b5a1da8-6d48-4271-b24f-5553eab8b190.MOBGFKNFXBYGHFHJ.SEARCH&ppt=None&ppn=None&ssid=n696y2k62o0000001619595827492,"POCO X3 Pro (Steel Blue, 128 GB)","₹18,999","₹23,999"
https://www.flipkart.com/redmi-9-prime-mint-green-64-gb/p/itmcccb4b3a6c2e0?pid=MOBFUSEP5YQJK4RE&lid=LSTMOBFUSEP5YQJK4REH2ETK3&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_26&otracker=browse&fm=organic&iid=7b5a1da8-6d48-4271-b24f-5553eab8b190.MOBFUSEP5YQJK4RE.SEARCH&ppt=None&ppn=None&ssid=n696y2k62o0000001619595827492,"Redmi 9 Prime (Mint Green, 64 GB)","₹9,999","₹11,999"
https://www.flipkart.com/redmi-9-power-blazing-blue-64-gb/p/itm9533b02ba34ef?pid=MOBFYZ7HHGJUATYD&lid=LSTMOBFYZ7HHGJUATYDFYZRIS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_27&otracker=browse&fm=organic&iid=7b5a1da8-6d48-4271-b24f-5553eab8b190.MOBFYZ7HHGJUATYD.SEARCH&ppt=None&ppn=None&ssid=n696y2k62o0000001619595827492,"REDMI 9 Power (Blazing Blue, 64 GB)","₹10,499","₹13,999"
https://www.flipkart.com/realme-narzo-30a-laser-blue-64-gb/p/itma78aeb1d764b5?pid=MOBGYFAXFPHUPEE5&lid=LSTMOBGYFAXFPHUPEE58SG25P&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_28&otracker=browse&fm=organic&iid=7b5a1da8-6d48-4271-b24f-5553eab8b190.MOBGYFAXFPHUPEE5.SEARCH&ppt=None&ppn=None&ssid=n696y2k62o0000001619595827492,"realme Narzo 30A (Laser Blue, 64 GB)","₹9,999","₹10,999"
https://www.flipkart.com/realme-narzo-30a-laser-black-64-gb/p/itma78aeb1d764b5?pid=MOBGYFAXVHTZUGW6&lid=LSTMOBGYFAXVHTZUGW67OZ3AA&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_29&otracker=browse&fm=organic&iid=7b5a1da8-6d48-4271-b24f-5553eab8b190.MOBGYFAXVHTZUGW6.SEARCH&ppt=None&ppn=None&ssid=n696y2k62o0000001619595827492,"realme Narzo 30A (Laser Black, 64 GB)","₹9,999","₹10,999"
https://www.flipkart.com/oppo-f19-prism-black-128-gb/p/itm82f60569dc6db?pid=MOBGFGWNUZXAM7QY&lid=LSTMOBGFGWNUZXAM7QYJQRKVV&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_30&otracker=browse&fm=organic&iid=en_6HogH6qXp6RdI6GxwV1R1x6Isyk2%2FGcfG%2BM7EToXBJRCyQGSqOrMzbrgdAW6tux5WmmtUfbsWtiHppnaMU1Mkw%3D%3D&ppt=None&ppn=None&ssid=n696y2k62o0000001619595827492,"OPPO F19 (Prism Black, 128 GB)","₹17,949","₹18,389"
https://www.flipkart.com/redmi-note-9-shadow-black-64-gb/p/itm70628269ecd57?pid=MOBFXEPZM4DX89AQ&lid=LSTMOBFXEPZM4DX89AQLO98VX&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_31&otracker=browse&fm=organic&iid=7b5a1da8-6d48-4271-b24f-5553eab8b190.MOBFXEPZM4DX89AQ.SEARCH&ppt=None&ppn=None&ssid=n696y2k62o0000001619595827492,"REDMI Note 9 (Shadow Black, 64 GB)","₹10,999","₹14,999"
https://www.flipkart.com/infinix-smart-5-aegean-blue-32-gb/p/itm8d968c7fe7d88?pid=MOBFZX3HUEEMQUPZ&lid=LSTMOBFZX3HUEEMQUPZT01YKM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_32&otracker=browse&fm=organic&iid=7b5a1da8-6d48-4271-b24f-5553eab8b190.MOBFZX3HUEEMQUPZ.SEARCH&ppt=None&ppn=None&ssid=n696y2k62o0000001619595827492,"Infinix Smart 5 (Aegean Blue, 32 GB)","₹7,199","₹8,999"
https://www.flipkart.com/infinix-smart-5-morandi-green-32-gb/p/itm8d968c7fe7d88?pid=MOBFZX3H2ARU2GHY&lid=LSTMOBFZX3H2ARU2GHY5J5UTT&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_33&otracker=browse&fm=organic&iid=7b5a1da8-6d48-4271-b24f-5553eab8b190.MOBFZX3H2ARU2GHY.SEARCH&ppt=None&ppn=None&ssid=n696y2k62o0000001619595827492,"Infinix Smart 5 (Morandi Green, 32 GB)","₹7,199","₹8,999"
https://www.flipkart.com/lava-gem/p/itmf954hfm33thxf?pid=MOBF94EQFANKSARH&lid=LSTMOBF94EQFANKSARH9TXQSB&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_34&otracker=browse&fm=organic&iid=en_6HogH6qXp6RdI6GxwV1R1x6Isyk2%2FGcfG%2BM7EToXBJRLdiSz4PJx%2F9%2B3miil2K1rruyKiAVPtuLqpLAuVyfUWQ%3D%3D&ppt=None&ppn=None&ssid=n696y2k62o0000001619595827492,LAVA GEM,"₹1,539",Not Available
https://www.flipkart.com/infinix-smart-5-7-purple-32-gb/p/itm8d968c7fe7d88?pid=MOBFZX3HAVZ3KQFW&lid=LSTMOBFZX3HAVZ3KQFWG0XKOM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_35&otracker=browse&fm=organic&iid=7b5a1da8-6d48-4271-b24f-5553eab8b190.MOBFZX3HAVZ3KQFW.SEARCH&ppt=None&ppn=None&ssid=n696y2k62o0000001619595827492,"Infinix Smart 5 (7° Purple, 32 GB)","₹7,199","₹8,999"
